customer_id,city,state_province,country,customer_region_id,yearly_income,gender,total_children,num_children_at_home,education,date_accnt_opened,member_card,occupation,houseowner,num_cars_owned
18,Altadena,CA,USA,50,$30K - $50K,M,3,2,Partial College,24/10/92,Bronze,Professional,Y,4
19,Oakland,CA,USA,37,$70K - $90K,F,1,0,High School Degree,21/09/92,Bronze,Professional,N,1
20,Spring Valley,CA,USA,15,$10K - $30K,F,2,0,Partial High School,02/04/93,Normal,Manual,Y,2
21,Renton,WA,USA,73,$30K - $50K,M,1,0,High School Degree,26/04/92,Normal,Manual,Y,2
22,Bellingham,WA,USA,78,$30K - $50K,F,4,4,High School Degree,08/08/91,Golden,Skilled Manual,Y,4
23,La Jolla,CA,USA,33,$30K - $50K,F,2,0,High School Degree,12/08/92,Silver,Manual,N,3
24,Santa Fe,DF,Mexico,109,$30K - $50K,F,0,0,High School Degree,19/05/91,Bronze,Manual,N,3
25,Haney,BC,Canada,93,$70K - $90K,F,3,0,High School Degree,18/11/91,Bronze,Professional,N,2
26,Burbank,CA,USA,53,$10K - $30K,M,0,0,Partial High School,21/09/92,Normal,Skilled Manual,N,1
27,Anacortes,WA,USA,79,$30K - $50K,F,1,1,High School Degree,21/10/91,Bronze,Manual,Y,3
28,Everett,WA,USA,81,$10K - $30K,F,1,0,Partial High School,28/09/93,Silver,Manual,Y,1
29,Oak Bay,BC,Canada,99,$10K - $30K,F,2,0,Partial High School,01/09/93,Normal,Manual,N,1
30,Milwaukie,OR,USA,65,$50K - $70K,F,4,0,Bachelors Degree,09/05/93,Bronze,Professional,Y,3
31,Concord,CA,USA,46,$50K - $70K,F,4,3,Graduate Degree,06/02/91,Golden,Professional,Y,3
32,Ladner,BC,Canada,96,$10K - $30K,F,2,0,Partial High School,23/06/91,Normal,Manual,Y,2
33,Santa Cruz,CA,USA,40,$30K - $50K,F,2,2,High School Degree,15/08/92,Bronze,Skilled Manual,N,2
34,La Mesa,CA,USA,11,$50K - $70K,F,3,1,Bachelors Degree,27/02/90,Silver,Management,Y,2
35,Merida,Yucatan,Mexico,26,$30K - $50K,M,5,1,Partial College,21/09/92,Bronze,Skilled Manual,Y,3
36,Oregon City,OR,USA,68,$10K - $30K,M,1,0,Partial High School,24/06/90,Normal,Skilled Manual,N,1
37,Seattle,WA,USA,18,$50K - $70K,M,0,0,Bachelors Degree,02/06/92,Bronze,Professional,N,3
38,Arcadia,CA,USA,51,$30K - $50K,M,1,0,Partial College,08/06/93,Bronze,Management,N,1
39,Lebanon,OR,USA,72,$90K - $110K,F,4,2,Graduate Degree,10/03/92,Bronze,Professional,Y,2
40,Santa Cruz,CA,USA,40,$110K - $130K,M,1,0,Partial College,14/08/92,Bronze,Professional,Y,2
41,W. Linn,OR,USA,66,$110K - $130K,M,1,0,High School Degree,10/10/90,Bronze,Professional,N,2
42,San Andres,DF,Mexico,106,$70K - $90K,F,3,3,Bachelors Degree,21/07/93,Golden,Management,Y,3
43,Burbank,CA,USA,53,$50K - $70K,F,2,0,Bachelors Degree,19/03/93,Bronze,Professional,N,4
44,Bellflower,CA,USA,55,$30K - $50K,M,1,0,High School Degree,07/01/92,Bronze,Skilled Manual,Y,2
45,Renton,WA,USA,73,$50K - $70K,M,5,0,Bachelors Degree,07/05/94,Golden,Management,Y,2
46,Mill Valley,CA,USA,38,$70K - $90K,F,1,1,Graduate Degree,22/11/92,Silver,Professional,N,2
47,Oak Bay,BC,Canada,99,$50K - $70K,M,0,0,Bachelors Degree,17/05/92,Bronze,Professional,N,1
48,Camacho,Zacatecas,Mexico,27,$50K - $70K,M,0,0,Bachelors Degree,04/05/94,Bronze,Professional,N,3
49,Arcadia,CA,USA,51,$30K - $50K,F,4,0,High School Degree,20/04/92,Bronze,Skilled Manual,N,2
50,Altadena,CA,USA,50,$110K - $130K,M,4,0,Partial High School,03/06/93,Bronze,Professional,Y,4
51,Oakland,CA,USA,37,$90K - $110K,F,4,2,Graduate Degree,05/12/93,Bronze,Professional,N,3
52,Tixapan,DF,Mexico,107,$70K - $90K,F,3,0,Bachelors Degree,19/03/94,Silver,Professional,N,2
53,Oak Bay,BC,Canada,99,$70K - $90K,M,4,2,Graduate Degree,10/07/93,Normal,Management,Y,4
54,Metchosin,BC,Canada,104,$30K - $50K,F,0,0,Partial College,24/07/92,Bronze,Professional,Y,3
55,Grossmont,CA,USA,17,$10K - $30K,M,3,2,Partial High School,10/03/92,Normal,Skilled Manual,Y,1
56,Imperial Beach,CA,USA,14,$10K - $30K,M,3,0,Partial High School,11/04/90,Normal,Manual,N,2
57,San Andres,DF,Mexico,106,$10K - $30K,M,3,0,Partial High School,15/05/91,Golden,Manual,Y,0
58,Oakland,CA,USA,37,$30K - $50K,F,3,0,Partial High School,24/11/92,Bronze,Skilled Manual,N,3
59,Burnaby,BC,Canada,92,$30K - $50K,M,5,5,High School Degree,19/03/93,Bronze,Manual,Y,3
60,Langley,BC,Canada,94,$30K - $50K,M,3,0,Partial College,04/09/90,Silver,Skilled Manual,Y,3
61,Tacoma,WA,USA,84,$70K - $90K,M,1,0,Bachelors Degree,26/02/91,Bronze,Professional,N,1
62,Santa Monica,CA,USA,49,$30K - $50K,M,1,1,High School Degree,12/05/91,Golden,Skilled Manual,Y,2
63,Tlaxiaco,Oaxaca,Mexico,30,$70K - $90K,F,4,0,Bachelors Degree,04/06/92,Bronze,Professional,N,2
64,Beaverton,OR,USA,67,$10K - $30K,M,4,0,Partial High School,26/02/93,Normal,Manual,Y,2
65,Metchosin,BC,Canada,104,$90K - $110K,F,0,0,Partial College,23/11/90,Normal,Management,Y,3
66,Metchosin,BC,Canada,104,$110K - $130K,F,4,4,Partial College,03/09/92,Silver,Professional,Y,2
67,Westminster,BC,Canada,91,$30K - $50K,M,3,1,Partial College,03/01/91,Bronze,Skilled Manual,Y,3
68,Hidalgo,Zacatecas,Mexico,25,$30K - $50K,F,0,0,High School Degree,13/11/93,Silver,Manual,Y,1
69,Los Angeles,CA,USA,3,$10K - $30K,M,1,1,Partial High School,12/03/91,Normal,Skilled Manual,Y,1
70,Coronado,CA,USA,8,$30K - $50K,M,0,0,High School Degree,13/07/91,Bronze,Manual,Y,1
71,La Cruz,Sinaloa,Mexico,29,$10K - $30K,M,5,0,Partial High School,20/11/90,Normal,Manual,N,1
72,Shawnee,BC,Canada,105,$10K - $30K,F,5,5,Partial High School,03/12/92,Normal,Skilled Manual,Y,2
73,Yakima,WA,USA,89,$30K - $50K,F,4,3,High School Degree,07/10/92,Golden,Skilled Manual,Y,3
74,Ballard,WA,USA,20,$50K - $70K,M,3,0,Bachelors Degree,24/03/92,Bronze,Professional,Y,3
75,Lynnwood,WA,USA,75,$30K - $50K,F,3,0,High School Degree,17/03/90,Bronze,Manual,N,3
76,Port Orchard,WA,USA,77,$70K - $90K,F,1,0,High School Degree,26/05/94,Normal,Professional,N,1
77,Downey,CA,USA,58,$50K - $70K,M,2,0,Bachelors Degree,18/06/92,Normal,Professional,Y,4
78,Salem,OR,USA,23,$10K - $30K,M,1,1,Partial High School,02/05/94,Silver,Manual,Y,1
79,Tacoma,WA,USA,84,$70K - $90K,M,2,0,Bachelors Degree,02/06/94,Bronze,Management,Y,4
80,Lemon Grove,CA,USA,12,$70K - $90K,F,1,0,Bachelors Degree,11/11/92,Bronze,Management,Y,4
81,Milwaukie,OR,USA,65,$10K - $30K,M,2,0,Partial High School,05/05/90,Normal,Skilled Manual,Y,2
82,Richmond,CA,USA,35,$10K - $30K,F,4,0,Partial High School,23/03/93,Normal,Skilled Manual,Y,1
83,Arcadia,CA,USA,51,$110K - $130K,F,3,0,Partial High School,20/02/94,Golden,Management,Y,2
84,Haney,BC,Canada,93,$50K - $70K,M,4,0,Bachelors Degree,27/08/94,Bronze,Professional,N,3
85,Novato,CA,USA,42,$30K - $50K,M,3,3,High School Degree,24/08/93,Golden,Skilled Manual,Y,3
86,Bremerton,WA,USA,76,$30K - $50K,M,4,0,Partial High School,06/11/92,Normal,Skilled Manual,Y,4
87,N. Vancouver,BC,Canada,97,$70K - $90K,F,4,0,High School Degree,26/09/92,Bronze,Management,N,3
88,Milwaukie,OR,USA,65,$30K - $50K,F,2,0,High School Degree,18/09/92,Bronze,Manual,N,4
89,Woodland Hills,CA,USA,62,$70K - $90K,F,4,0,High School Degree,16/04/92,Bronze,Management,N,2
90,Sooke,BC,Canada,101,$70K - $90K,F,2,2,High School Degree,19/02/93,Bronze,Professional,Y,3
91,Long Beach,CA,USA,48,$50K - $70K,M,1,1,Bachelors Degree,20/12/90,Bronze,Professional,N,1
92,Arcadia,CA,USA,51,$30K - $50K,M,4,2,High School Degree,07/05/93,Bronze,Skilled Manual,Y,4
93,Woodburn,OR,USA,69,$130K - $150K,M,5,4,Bachelors Degree,08/05/93,Golden,Professional,Y,3
94,Vancouver,BC,Canada,5,$10K - $30K,M,1,0,Partial High School,15/12/93,Normal,Skilled Manual,Y,1
95,Tlaxiaco,Oaxaca,Mexico,30,$130K - $150K,F,2,0,Graduate Degree,13/09/91,Silver,Professional,Y,2
96,Beaverton,OR,USA,67,$50K - $70K,M,0,0,Bachelors Degree,18/10/90,Normal,Management,Y,2
97,Richmond,BC,Canada,90,$50K - $70K,M,4,4,High School Degree,21/04/92,Golden,Skilled Manual,Y,2
98,Richmond,BC,Canada,90,$130K - $150K,F,1,1,High School Degree,07/09/90,Bronze,Management,Y,3
99,Port Orchard,WA,USA,77,$30K - $50K,F,3,0,Bachelors Degree,28/05/92,Bronze,Professional,N,2
100,San Jose,CA,USA,39,$90K - $110K,F,2,2,Partial High School,06/08/90,Silver,Professional,Y,3
101,N. Vancouver,BC,Canada,97,$10K - $30K,F,1,0,Partial High School,16/07/93,Normal,Manual,N,1
102,Langford,BC,Canada,102,$30K - $50K,M,2,0,Bachelors Degree,06/10/90,Bronze,Professional,N,4
103,Acapulco,Guerrero,Mexico,28,$50K - $70K,M,5,3,Bachelors Degree,24/04/92,Golden,Professional,Y,2
104,Hidalgo,Zacatecas,Mexico,25,$30K - $50K,F,1,1,Partial College,12/11/94,Bronze,Clerical,N,2
105,National City,CA,USA,9,$150K +,M,3,3,Bachelors Degree,08/02/92,Golden,Management,Y,3
106,Long Beach,CA,USA,48,$50K - $70K,M,5,0,Bachelors Degree,19/11/91,Bronze,Professional,Y,2
107,Cliffside,BC,Canada,103,$30K - $50K,M,2,2,High School Degree,17/06/90,Bronze,Manual,Y,4
108,Shawnee,BC,Canada,105,$90K - $110K,M,1,1,Bachelors Degree,21/02/93,Bronze,Management,Y,3
109,Newton,BC,Canada,95,$50K - $70K,M,2,0,Bachelors Degree,19/09/92,Bronze,Professional,N,2
110,West Covina,CA,USA,60,$10K - $30K,M,3,0,Partial High School,02/08/93,Normal,Manual,N,1
111,Palo Alto,CA,USA,41,$70K - $90K,F,2,2,Bachelors Degree,24/02/92,Bronze,Management,Y,2
112,Santa Monica,CA,USA,49,$30K - $50K,F,4,1,High School Degree,11/02/91,Bronze,Skilled Manual,Y,3
113,Sooke,BC,Canada,101,$110K - $130K,F,2,1,Bachelors Degree,27/01/93,Bronze,Professional,Y,3
114,Sooke,BC,Canada,101,$150K +,F,3,0,High School Degree,09/03/93,Silver,Professional,Y,2
115,Altadena,CA,USA,50,$90K - $110K,F,3,0,Bachelors Degree,12/09/94,Silver,Professional,Y,2
116,Burnaby,BC,Canada,92,$90K - $110K,M,2,0,High School Degree,14/08/94,Bronze,Management,N,3
117,Albany,OR,USA,71,$90K - $110K,F,3,1,Graduate Degree,16/04/94,Bronze,Professional,Y,3
118,Bremerton,WA,USA,76,$50K - $70K,M,2,0,Bachelors Degree,03/03/93,Bronze,Professional,Y,2
119,N. Vancouver,BC,Canada,97,$10K - $30K,M,4,0,Partial High School,21/05/91,Normal,Manual,Y,1
120,Milwaukie,OR,USA,65,$30K - $50K,F,0,0,High School Degree,07/09/90,Bronze,Skilled Manual,Y,4
121,Santa Monica,CA,USA,49,$30K - $50K,F,5,0,High School Degree,27/07/94,Silver,Manual,Y,2
122,Walla Walla,WA,USA,88,$30K - $50K,F,4,1,High School Degree,19/05/92,Bronze,Skilled Manual,N,3
123,Richmond,CA,USA,35,$30K - $50K,F,2,0,High School Degree,15/08/93,Bronze,Manual,Y,1
124,Oakland,CA,USA,37,$70K - $90K,F,5,0,Bachelors Degree,27/03/91,Bronze,Professional,N,2
125,Bellflower,CA,USA,55,$70K - $90K,M,2,2,Bachelors Degree,22/06/91,Bronze,Professional,Y,3
126,Ballard,WA,USA,20,$110K - $130K,F,2,0,Partial College,24/07/90,Normal,Professional,Y,2
127,Everett,WA,USA,81,$10K - $30K,M,1,0,Partial High School,27/11/92,Normal,Skilled Manual,Y,0
128,Salem,OR,USA,23,$30K - $50K,F,1,0,High School Degree,11/08/92,Bronze,Skilled Manual,N,4
129,Concord,CA,USA,46,$50K - $70K,F,0,0,Bachelors Degree,16/11/90,Bronze,Professional,Y,3
130,Concord,CA,USA,46,$110K - $130K,F,4,0,Graduate Degree,23/09/92,Bronze,Professional,N,2
131,La Jolla,CA,USA,33,$10K - $30K,M,3,0,Partial High School,22/12/91,Normal,Manual,Y,2
132,Cliffside,BC,Canada,103,$30K - $50K,F,0,0,High School Degree,06/10/93,Silver,Skilled Manual,N,3
133,Burbank,CA,USA,53,$30K - $50K,M,1,0,High School Degree,21/11/90,Bronze,Skilled Manual,Y,3
134,Spokane,WA,USA,87,$50K - $70K,M,4,0,Bachelors Degree,06/07/91,Bronze,Professional,Y,1
135,Tixapan,DF,Mexico,107,$110K - $130K,M,5,0,Bachelors Degree,02/08/94,Silver,Professional,Y,3
136,Lynnwood,WA,USA,75,$150K +,M,3,3,Bachelors Degree,12/09/91,Golden,Professional,Y,3
137,Newport Beach,CA,USA,59,$130K - $150K,F,3,3,Partial College,13/07/93,Bronze,Professional,Y,3
138,Oak Bay,BC,Canada,99,$90K - $110K,F,4,0,Partial High School,08/05/91,Silver,Professional,Y,2
139,Coronado,CA,USA,8,$30K - $50K,M,1,1,Partial High School,12/08/91,Bronze,Manual,Y,1
140,La Mesa,CA,USA,11,$10K - $30K,M,2,1,Partial High School,21/10/90,Normal,Skilled Manual,Y,1
141,Santa Anita,DF,Mexico,108,$10K - $30K,M,4,3,Partial High School,13/11/92,Normal,Skilled Manual,N,1
142,Renton,WA,USA,73,$50K - $70K,F,2,1,Bachelors Degree,24/10/90,Golden,Professional,Y,4
143,Glendale,CA,USA,54,$30K - $50K,F,5,5,Partial College,24/11/90,Golden,Manual,Y,3
144,Westminster,BC,Canada,91,$10K - $30K,M,3,0,Partial High School,06/04/92,Bronze,Skilled Manual,Y,0
145,Victoria,BC,Canada,6,$10K - $30K,M,3,3,Partial High School,27/10/91,Normal,Manual,Y,2
146,Victoria,BC,Canada,6,$130K - $150K,M,2,0,Partial High School,15/08/91,Bronze,Professional,Y,4
147,Sooke,BC,Canada,101,$110K - $130K,M,4,0,Bachelors Degree,20/12/92,Bronze,Professional,Y,2
148,Kirkland,WA,USA,63,$70K - $90K,M,2,0,High School Degree,28/07/93,Bronze,Management,N,2
149,Chula Vista,CA,USA,13,$50K - $70K,M,1,0,Bachelors Degree,24/07/92,Bronze,Professional,Y,1
150,Seattle,WA,USA,18,$30K - $50K,F,4,1,High School Degree,06/11/91,Bronze,Manual,Y,3
151,San Jose,CA,USA,39,$30K - $50K,F,3,0,Partial College,27/08/91,Bronze,Management,Y,4
152,Ballard,WA,USA,20,$150K +,F,2,0,High School Degree,07/05/90,Silver,Professional,Y,3
153,Guadalajara,Jalisco,Mexico,4,$10K - $30K,F,3,2,Partial High School,05/11/90,Normal,Manual,Y,0
154,Lebanon,OR,USA,72,$50K - $70K,F,0,0,Bachelors Degree,19/12/92,Bronze,Professional,N,2
155,Port Hammond,BC,Canada,98,$110K - $130K,M,1,1,Partial High School,20/11/93,Silver,Professional,N,1
156,Sooke,BC,Canada,101,$130K - $150K,M,1,0,Bachelors Degree,02/10/93,Bronze,Professional,Y,2
157,La Mesa,CA,USA,11,$50K - $70K,F,2,0,Bachelors Degree,03/10/93,Bronze,Professional,N,2
158,Tacoma,WA,USA,84,$130K - $150K,F,3,1,Partial College,11/06/93,Bronze,Management,Y,3
159,Milwaukie,OR,USA,65,$30K - $50K,M,4,4,High School Degree,08/03/91,Bronze,Skilled Manual,Y,3
160,Renton,WA,USA,73,$90K - $110K,F,1,1,Partial High School,14/04/90,Golden,Professional,N,4
161,Grossmont,CA,USA,17,$30K - $50K,F,1,0,High School Degree,17/09/92,Bronze,Manual,Y,2
162,Ladner,BC,Canada,96,$30K - $50K,F,3,1,Partial High School,18/11/93,Bronze,Manual,Y,1
163,Los Angeles,CA,USA,3,$10K - $30K,F,5,0,Partial High School,23/10/92,Normal,Skilled Manual,N,1
164,Coronado,CA,USA,8,$30K - $50K,F,4,0,High School Degree,01/01/90,Bronze,Skilled Manual,N,2
165,Milwaukie,OR,USA,65,$130K - $150K,M,2,0,Bachelors Degree,22/09/92,Bronze,Professional,Y,3
166,Oak Bay,BC,Canada,99,$30K - $50K,F,4,0,High School Degree,26/04/92,Golden,Manual,Y,4
167,Lemon Grove,CA,USA,12,$70K - $90K,M,2,0,Graduate Degree,17/09/90,Bronze,Professional,Y,3
168,Walla Walla,WA,USA,88,$10K - $30K,F,4,3,Partial High School,05/05/91,Normal,Manual,N,2
169,Lebanon,OR,USA,72,$50K - $70K,F,0,0,Partial High School,28/07/93,Bronze,Manual,Y,2
170,Los Angeles,CA,USA,3,$10K - $30K,M,1,0,Partial High School,12/05/93,Normal,Skilled Manual,N,1
171,Downey,CA,USA,58,$10K - $30K,M,4,1,Partial High School,26/09/91,Normal,Manual,N,2
172,West Covina,CA,USA,60,$50K - $70K,F,3,1,Bachelors Degree,14/07/91,Silver,Professional,N,2
173,Bellingham,WA,USA,78,$50K - $70K,F,3,0,High School Degree,12/03/94,Golden,Manual,N,2
174,San Carlos,CA,USA,44,$90K - $110K,F,4,0,High School Degree,17/07/91,Bronze,Management,Y,4
175,Metchosin,BC,Canada,104,$70K - $90K,F,0,0,Graduate Degree,05/09/91,Bronze,Professional,N,4
176,Concord,CA,USA,46,$110K - $130K,M,2,2,Partial College,08/06/92,Silver,Professional,Y,2
177,Corvallis,OR,USA,70,$10K - $30K,M,0,0,Partial High School,08/08/91,Normal,Skilled Manual,N,1
178,Woodburn,OR,USA,69,$30K - $50K,M,1,0,Partial College,18/09/91,Bronze,Manual,Y,2
179,Lakewood,CA,USA,56,$130K - $150K,M,1,0,Graduate Degree,09/02/91,Golden,Professional,Y,1
180,Seattle,WA,USA,18,$50K - $70K,F,4,0,Bachelors Degree,23/04/92,Bronze,Professional,N,3
181,Bremerton,WA,USA,76,$30K - $50K,F,1,0,High School Degree,25/11/92,Bronze,Manual,N,2
182,Everett,WA,USA,81,$110K - $130K,F,1,1,Graduate Degree,01/07/90,Bronze,Management,Y,3
183,Langford,BC,Canada,102,$130K - $150K,M,2,0,Graduate Degree,27/12/91,Bronze,Professional,N,3
184,Oak Bay,BC,Canada,99,$70K - $90K,F,4,0,High School Degree,26/08/93,Bronze,Professional,Y,1
185,Edmonds,WA,USA,83,$10K - $30K,M,4,0,Partial High School,20/06/93,Normal,Manual,Y,1
186,Imperial Beach,CA,USA,14,$110K - $130K,F,3,2,Partial High School,28/11/94,Bronze,Professional,Y,3
187,Woodburn,OR,USA,69,$10K - $30K,M,0,0,Partial High School,23/03/91,Normal,Manual,Y,1
188,Albany,OR,USA,71,$30K - $50K,F,4,4,High School Degree,08/09/93,Golden,Skilled Manual,Y,3
189,Metchosin,BC,Canada,104,$10K - $30K,M,2,1,Partial High School,04/02/93,Normal,Skilled Manual,Y,2
190,Corvallis,OR,USA,70,$110K - $130K,F,1,0,Partial College,17/05/93,Bronze,Professional,Y,3
191,Arcadia,CA,USA,51,$30K - $50K,F,4,0,Partial College,20/10/91,Normal,Manual,N,1
192,Spokane,WA,USA,87,$50K - $70K,F,4,0,Bachelors Degree,20/03/90,Bronze,Professional,Y,3
193,Los Angeles,CA,USA,3,$30K - $50K,M,0,0,Partial College,03/12/91,Bronze,Skilled Manual,Y,3
194,Mexico City,Mexico,Mexico,2,$30K - $50K,F,1,0,Partial College,21/02/94,Bronze,Skilled Manual,N,4
195,N. Vancouver,BC,Canada,97,$50K - $70K,F,4,0,Bachelors Degree,10/01/91,Bronze,Professional,Y,2
196,Daly City,CA,USA,31,$10K - $30K,M,2,0,Partial High School,20/11/94,Normal,Manual,N,1
197,National City,CA,USA,9,$10K - $30K,F,1,1,High School Degree,20/04/91,Normal,Skilled Manual,Y,2
198,Imperial Beach,CA,USA,14,$10K - $30K,F,1,1,Partial High School,04/11/92,Normal,Skilled Manual,Y,1
199,Richmond,CA,USA,35,$10K - $30K,M,0,0,Bachelors Degree,27/12/91,Normal,Professional,N,0
200,Los Angeles,CA,USA,3,$50K - $70K,F,5,0,Partial College,08/07/92,Bronze,Skilled Manual,N,1
201,Santa Fe,DF,Mexico,109,$50K - $70K,F,1,0,Bachelors Degree,09/05/94,Bronze,Professional,N,3
202,Santa Cruz,CA,USA,40,$10K - $30K,F,5,0,Partial High School,15/07/93,Normal,Manual,Y,1
203,Newton,BC,Canada,95,$50K - $70K,M,1,0,Bachelors Degree,08/06/92,Silver,Management,N,4
204,N. Vancouver,BC,Canada,97,$130K - $150K,M,2,1,High School Degree,17/09/91,Bronze,Management,Y,2
205,San Diego,CA,USA,7,$110K - $130K,M,5,1,Bachelors Degree,20/12/94,Bronze,Management,Y,2
206,Sedro Woolley,WA,USA,80,$50K - $70K,F,3,0,Bachelors Degree,03/12/92,Bronze,Management,Y,2
207,La Jolla,CA,USA,33,$70K - $90K,M,2,0,Graduate Degree,19/06/92,Bronze,Professional,N,3
208,Woodburn,OR,USA,69,$130K - $150K,F,2,1,Partial College,12/02/90,Golden,Professional,Y,1
209,Imperial Beach,CA,USA,14,$70K - $90K,M,2,0,Bachelors Degree,06/08/93,Bronze,Professional,N,1
210,Burnaby,BC,Canada,92,$70K - $90K,F,1,1,Graduate Degree,10/02/93,Normal,Management,N,1
211,Santa Anita,DF,Mexico,108,$10K - $30K,M,3,3,Partial High School,07/02/93,Normal,Skilled Manual,Y,2
212,Novato,CA,USA,42,$10K - $30K,M,4,3,Partial High School,26/11/90,Normal,Manual,Y,0
213,Woodland Hills,CA,USA,62,$30K - $50K,F,3,0,High School Degree,22/11/94,Bronze,Manual,Y,2
214,Ladner,BC,Canada,96,$30K - $50K,M,1,0,High School Degree,04/03/92,Bronze,Manual,Y,2
215,National City,CA,USA,9,$50K - $70K,M,5,1,Partial College,25/12/93,Bronze,Professional,Y,4
216,Olympia,WA,USA,85,$70K - $90K,F,2,0,High School Degree,07/09/94,Bronze,Professional,N,1
217,Woodburn,OR,USA,69,$50K - $70K,M,5,0,Partial College,06/03/94,Bronze,Skilled Manual,Y,2
218,Santa Anita,DF,Mexico,108,$70K - $90K,M,2,0,Bachelors Degree,20/05/91,Bronze,Professional,Y,3
219,Bellflower,CA,USA,55,$30K - $50K,M,2,2,High School Degree,10/12/92,Bronze,Skilled Manual,Y,2
220,Torrance,CA,USA,57,$50K - $70K,F,2,0,Bachelors Degree,27/02/90,Bronze,Management,Y,1
221,Lynnwood,WA,USA,75,$30K - $50K,F,2,2,Partial College,17/10/90,Bronze,Skilled Manual,Y,1
222,Lemon Grove,CA,USA,12,$90K - $110K,F,0,0,High School Degree,08/09/90,Bronze,Professional,N,2
223,Sooke,BC,Canada,101,$10K - $30K,F,1,1,Partial High School,22/04/91,Normal,Manual,N,1
224,La Cruz,Sinaloa,Mexico,29,$10K - $30K,F,3,0,Partial High School,12/08/92,Golden,Skilled Manual,Y,0
225,Beaverton,OR,USA,67,$30K - $50K,M,5,0,High School Degree,11/04/93,Bronze,Manual,N,3
226,W. Linn,OR,USA,66,$90K - $110K,F,2,0,Graduate Degree,24/09/92,Bronze,Professional,Y,2
227,Burbank,CA,USA,53,$30K - $50K,F,3,0,High School Degree,18/05/94,Bronze,Manual,Y,2
228,El Cajon,CA,USA,16,$90K - $110K,F,3,0,High School Degree,07/10/93,Normal,Professional,Y,3
229,Renton,WA,USA,73,$70K - $90K,F,1,0,Graduate Degree,28/07/90,Bronze,Management,Y,3
230,Bellingham,WA,USA,78,$10K - $30K,M,2,0,Partial High School,07/07/91,Normal,Manual,Y,2
231,Oak Bay,BC,Canada,99,$30K - $50K,F,5,1,Partial College,08/04/94,Bronze,Clerical,Y,2
232,Ladner,BC,Canada,96,$110K - $130K,F,1,0,Bachelors Degree,13/08/90,Silver,Management,Y,1
233,Sedro Woolley,WA,USA,80,$130K - $150K,M,3,2,High School Degree,09/10/92,Bronze,Professional,N,2
234,La Mesa,CA,USA,11,$10K - $30K,M,3,0,Partial High School,20/08/91,Normal,Manual,Y,1
235,W. Linn,OR,USA,66,$70K - $90K,M,2,0,Bachelors Degree,21/03/93,Silver,Professional,N,4
236,Oregon City,OR,USA,68,$10K - $30K,M,1,0,Partial High School,09/02/93,Normal,Skilled Manual,N,0
237,Royal Oak,BC,Canada,100,$70K - $90K,M,0,0,Bachelors Degree,07/09/91,Bronze,Management,N,4
238,Milwaukie,OR,USA,65,$10K - $30K,F,1,1,Partial High School,11/02/93,Normal,Manual,Y,1
239,Concord,CA,USA,46,$110K - $130K,M,1,0,Graduate Degree,06/07/92,Bronze,Professional,Y,2
240,Glendale,CA,USA,54,$30K - $50K,M,2,2,Partial High School,20/07/90,Bronze,Skilled Manual,N,4
241,San Andres,DF,Mexico,106,$90K - $110K,M,4,4,High School Degree,20/09/94,Golden,Professional,Y,3
