,Tweet,Cluster
4,spotify not working only your data platform and working fine all other platforms please fix this issue asap else along with many need shift other options has been months since the outage number vodaf,4
4,contacts are saying they are getting calls repeatedly this happening without knowledge this causing inconvenience please help,4
4,inbox details pls check,4
4,not going due number not working for verification,4
5,have provided the details yesterday but haven received any response from vodafone please treat this issue with priority already one day the pack validity lost are you going increase the validity due inactiveness,5
6,this happening since morning and happens every week what has happened the network quality pic twitter com ryd,6
4,don you think high time this annoying caller tune #coronavirus alert stopped pretty sure entire nation now knows what what precautions taken etc,4
4,same here our services are down and isn responding please let know you find way out this,4
2,sense complaining such worst network and disrespectful towards customers again got message resolved customer care only calls for asking what the issue after that coming with below message immediately pic,2
6,this your internet speed complaining again again result pic twitter com gjumkstzar,6
4,taken survey and hope will able help and resolve concern has deducted balance wrongly and when contacted instead helping giving absurd excuses they were not working during lockdown now telling,4
2,may because the network pathetic and doesn connect half the time,2
2,too much slow network before one week facing much prblm using data,2
4,how can get call details record april may lockdown period from prepaid number kindly guide,4
3,would expect brand like vodafone with good customer care reputation take heed gross negligence and poor behavior its subsidiaries shouldn have resort begging for critical service while wfh for what,3
5,vilpower vodafone idea charged send transaction related msgs for even after paying the amount they have not approved the services and our sms services are down startup friendly ecosystem myth,5
2,too much slow network,2
4,help,4
4,msged you the number please respond,4
3,far one called get the feedback this the kind care you provide your customers way you are going all out instigate leave this #pathetic service provider very sorry for you might not sti,3
4,with heavy heart parted ways with airtel jio and trust that far the best decision when comes telecom provider try karke dekho,4
3,did not subscribe for any service didn receive any calls related well what wrong unnecessarily charged don even know what service kindly rectify #vodafone #vodafonescam #nonsense pic twitter com ybx mgh,3
2,hey can for contactless without visiting your outlet number portability option from current number these voda guys have failed even call once past days the network here horrible hope you can help,2
6,again network porting out pic twitter com kmglv,6
4,revert,4
4,you never replied,4
4,worst ever experience support all pathetic,4
4,your tweet has been forwarded the concerned tsp division for necessary action,4
4,hey all set port number you guys you could port without loosing recharge,4
7,you have already taken information twice only taking information problem can resolve phone showing service since yesterday evening want port number asap can tackle torture vodafone anymore,7
3,has the worst customer service they harass the customer first adding irrelevant charges postpaid bill then cutting their services the customer can contact them also mail they have not heard about can call anyone,3
4,how many times have details its already done,4
5,any update you guys are looking since days and since you are not able come with anything #vodafone #worst,5
4,have the same issue over past months you got any resolution yet,4
2,what will after getting details every second day your network down calls dropping lucky call connected voice always broken internet speed slower than snail,2
4,still waiting for postpaid sim order number dchd was placed june and was supposed delivered june response awaited,4
4,sent thanks,4
4,either you can please provide your contact that can contact you for better clarification,4
4,yeah they keep spamming with different packages even though have months active plan both,4
2,looks like your network forever lockdown too,2
6,response from your end don know why you people are doing like this already month completed response from your end will take month check the status waste waste waste waste waste waste https twitter com vodafo,6
4,whys you even bother ask mobile nymber when you are not reaching out resolve issues,4
4,check the number from where was process you will get the details just simple thing and your team are making complicated had already said the same before but your team lazy want everything ready made hope had answer all your questions now hope refund asap,4
2,using connection for more than and paying bill every month now facing call drop network issue since last week every alternate call getting drop can you fox this urgently should port number,2
4,social media team not responding any messages customercare its lowest level this way you treat your customers and loot customer money,4
4,arre didi saal gyaa mjhe apna number port kiye hue,4
5,vodafone only loot the client you not harass vodafone they start blackmail stop your services hate vodafone vodafone bharat choro,5
4,hahaha,4
4,what wrong with your back office why are they activating data addons peoples nhumbers without consent your corpcare mah com doesnt work either customer care not taking requests for corporate numbers either this,4
4,for number had provided friend document alternate number was updated you can check and call the alternative number you are really interested,4
4,kar bhai ladki khud aage hokar bol rahi hai,4
3,not all but idea voda providing good service area,3
5,had done plan for per day but vodafone cheated and gave only per day even after complaint filed response provided already are tolerating worst network vodafone over and above they are also cheating people,5
4,thank you,4
4,also does this,4
2,network entire south goa can you check your services are working you cant provide services then refund our money kindly look into,2
6,link shown that frc can done with plan then why executive has charged from told that there other plans below plz clarity this pic twitter com cyjcl,6
3,sim showing service while rechrge valid till jun,3
2,dear team still didn get any respons from you this very shameful and pathetic intent you have shown now have take switch the network unwantedly and would ofcourse ask friends for switching this network,2
3,want port number any doorstep service available,3
6,dear finally some how got message for your team for considering issue attached screen hope per promised you will able resolve this issue the june pic twitter com yvoula,6
4,previous plan was postpaid now increase make without permission without asking when everyone lockdown covid suffering you are increasing your profits per mont,4
5,was using vodafone number before lockdown transfer this number from postpaid prepaid but due lockdown can recharge frc today visit store but executive told sir take tis postpaid cant,5
2,world third class network,2
4,have even mailed them but reply all just getting message like this that documents mismatched but baseless altogether now what should,4
4,the worst company ever have exchanged sim and verified all documents two more time and however rejecting documents and sais due documents mismatched but there chance mismatched because all the documents true,4
4,please share the process activating and deactivating #redx plan here that its known all customers,4
4,really very high hdi state,4
6,understand how inconvenient this could please the alternate number may assist thank you ritu https twitter com messages compose recipient,6
4,now have also made another payment for and still have not got any revert from guys and services are restricted,4
4,but further upon getting through their customer care office number for mumbai all someone picks the phone the security guard who then tells you that all engineers are busy this has been going for one,4
5,yes very true fed port out vodafone chose,5
3,worst service provider plz don buy voda sim opt for higher packs they will reduce its network speed from they will also not respond queries keep sending stupid msg,3
6,pic twitter com owexqgii,6
6,god knowns when the call will come #waiting #pathetic https twitter com vodafonein status,6
4,days,4
5,only chose you for wifi services because the trust vodafone level customer care and relying their much proclaimed ability for real time tech support not only are they unwilling respond with their phone lin,5
4,more than days still not clear how you have resolved the issue simply sending sms does not work #falsestatements #poorservice #pathetic condition,4
6,here comes the standard reply your customer care team asking for for cancellation and not given they are saying forcefully keep #redx plan for more months gst #disappointed pic twitter com erqnyt,6
3,please return callertune charges the callertune not playing volte network have visited vodafone store and called customer care but service them only fake promises please make enquire,3
4,since when you started charging for the calls toll free numbers have done recharge around for days unlimited messages calls and internet,4
5,how did the vodafone cheat give postpaid plan and said that you can get this sim ported after three months but when the three months are over and put the massage the porting then not provide the porting,5
4,suresh please reach out support with your registered email address and happy look into this for you,4
4,sivakumar please reach out support with your registered email address and happy look into this for you,4
3,guys really want provide service think service will able get but usual fix copy paste work that keep doing,3
4,sandipan please reach out support with your registered email address and look into this for you,4
2,your own following message gives feedback your network quality dear customer tried calling you update regarding complaint you were unreachable this attempt shall again try after sometime thank you,2
3,#boycott vodafone because this telecom operator service very poor,3
4,sim lost how will get,4
4,msgs already reply asap,4
2,severe network issue shakti nagar area delhi block,2
3,don understand whats wrong with vodafone worst service use less support team should shutdown,3
4,should take bad feedback for,4
4,funny turbonet services are fast that can even open google home page call drop call connection poor voice quality and feeble mobile signal are value added services very good high time port,4
4,same here did they get fixed for you,4
2,very disappointing network and bad connectivity even bad internet need change,2
6,not getting any store call email solutions decided try chat number not working cannot make and receive calls when can get otp how the hell supposed this there isnt any way can connect human directly either pic twitter com gwx ewsbj,6
6,hey can get blocklist for promotional messages from and other services pic twitter com lznqq,6
4,dnd list yesterday and today again got the message last hrs left register today for srmhcat pursue mba university naac highest ctc lpa click http nmc uycp why,4
3,#poorservice facing issue with the vodafone network past month and given compliant many times but there response now day vodafone service get poor and poor service are working,3
3,outage for week from june everyday made complaint service assurance but action refund fix account number worst service,3
7,unable send messages from phone even though have proper pack and balance able call but messages are being sent not device problem because tried several devices please call not,7
4,complaining already inbox number didn get any call,4
7,hey robber network there any update this please still stick words that far better then you terms customer problem resolution,7
4,really does suck,4
4,from account deduct the don know why not requesting activate pack below the details received message june today june response from customer care kindly give back money attach ima,4
5,#vodafone has put redx charges gst parents #postpaid mobile number and are asking for more when they went get cancelled please help they didn activate any pack,5
2,have never seen much nonsense network please make some improvements idea network,2
4,now called customer care executive harjinder singh talk with rudely and have knowledge about vodaphone policy why are you hire unprofessional people your company,4
5,channel partner vodafone meerut zone since but now have many problems regarding financial retail team even sent many mail zonal office circle team also but not single reply came from any person gagan,5
5,customer support use vodafone app use why even operate when things are beyond your capabilities have been complaining horrible internet speed mulund bhandup mumbai from months resolution whatsoever,5
3,worst network vodafone service from last hrs response from customer care tried times don give suggestion switch off restart change handset etc etc all done want port asap,3
4,wapas jao telecom mein sirji,4
6,shame https twitter com status,6
4,its there waste your time you give and drop the call,4
3,vodafone idea ltd customer service still not resolved issues where refund amount,3
4,you have activated scheme your own and daily deducting for same without even confirmation now stop you want msg call extra bumper money for you since intl roaming plz stop this nonsense sir these com,4
4,still there response from your side,4
4,minimum promotional messages day,4
4,worst there are minimum messages day,4
6,your deadline for call back that was june has already passed and bill paying approaching soon hence your not worried all #worstservice #greedycompany https twitter com vodafonein status,6
4,they called they have asked shop,4
4,the dlt sms header approval process still pending from june customer support working and replay mails didn expect from you,4
3,this the way you treat all your customers special anyways don under the impression that and family will put with this very time have better service providers,3
5,can you confirm this one open well vodafone store beeco arcade plot vinayaka nagar gachibowli hitec city hyderabad telangana https goo maps xbyytzpr nrytfn,5
5,alert for all vodafone subs received call from voda rep who upgraded plan from despite refusal sms now vodafone refusing restore old plan careful from vodafone respresentatives who may cheat you like this,5
6,this the case with almost all signals reading bcos propagation loss higher freq bands and most possible reason why cities are cleared green cover the name #smartcity projects #bengaluru one those cities sham and scam pic twitter com jjly boum,6
3,dear have been cust long time always been disappointd service have net area days this not the time this happening try complaint and there too met with response,3
4,must direct uplink,4
4,you can online http airtel airtel thanks,4
4,still waiting for your response,4
4,really thinking doing this there has been movement from the morning the complaint placed even,4
2,dear sir help get solution this network issue which all india facing allow company hike tariff but have ever ask them are they provide good service sorry but from today will tweet everyday you till got some solut,2
6,best network ported pic twitter com vzz sestqk,6
4,bareilly pip bareilly,4
4,hello your complaint dated may with reference number registered assure resolution may,4
6,what working what assurance action tkn since may after siphoned off money immediately refund entire main balance was stoppd may illegally debited may although denied may unltd calls only days instead pic twitter com dshuyesac,6
6,pathetic network service but still charge money for #vodafone #networkmarketing pic twitter com avwzru,6
4,one has contacted yet,4
4,have already done that may corrective action has been taken yet,4
4,can also change the life,4
4,you requested details provided waiting for response request government authorities for the penalty such companies who are taking the benefit covid and the duty government https twitte,4
5,vodafone toh contact karne kosis karta hai problem solve karne kosis karta hai jab bhi tweet karo toh krne bolta hai msg karo toh kbhi koi response nhi aata agar vodafone harkat aisi rhi toh mai recommend nhi,5
6,pic twitter com quf xaj,6
6,useless left will soon touch thanks for providing network with speed pic twitter com hckwhmgkmh,6
5,haven heard from you reckon vodafone faffing around okay have some chill have already paid the extra bucks,5
7,call drop problem very high since last two days,7
4,not get any response from team after take address and alternate this very bad thing please attention this,4
2,why network much network drop,2
4,wait,4
3,pathetic first you couldn port number into your network service error since hours unable activate number second extremely slow response twitter situation can get worse vodafone,3
6,use sending that sms still getting bombarded your promotional stuff pic twitter com pzgsl,6
4,all have moved into voice over wifi within city itself many places the mobile work through this protocol only,4
6,dear team had already provided contact details over private message days ago still not able understand the lag updating information and resolutions pic twitter com jgwazqyuo,6
6,need clarification this one pic twitter com tzj,6
4,nobody contacted expecting get done today,4
3,request look into these customer service executive aslo don respond properly help shift from,3
4,please check your twitter chat just respond your questions that for internet not working properly,4
5,vodafone very bad banded bye vodafone ban,5
5,team had ported from voda airtel almost months back due worst coverage area but still getting promotional text msg from vodafone could plz stop sending that msgs,5
2,hello trying shift network from have been complaining for network issue where just service provided and,2
4,not able make calls from punjab,4
4,this your code conduct your values that you must sharing with your employees when they join you just keep looting the customers putting unnecessary charges because only money matters #vodafonesucks,4
4,are your stores open mumbai visited stores tardeo and prabhadevi both closed kindly revert need buy sim pre paid urgently,4
6,ques this signal https twitter com vilakudy status,6
2,literally tired now why there constant call drops and the best thing network since yesterday,2
4,can you guys please stop the corona message the phone depressing irritating and waste time every time make call now all know what corona thanks #covid india,4
5,today morning wife received call from informed her your vodafone phone will get disconnected when confronted about his identity started abusing using filthy language with her well self numb,5
3,when ask for evidence don receive answer now for jun reversal has been initiated still requesting reversal for may did not request for this service you can see data usage still have more than pending use,3
4,when the hell will you call when switch different operator,4
4,the month jun noticed spike bill when checked noticed corporate offer has been charged for may jun for which never requested for,4
4,shared all the info still response good job,4
4,been charged for int roaming may when world was under lockdown and some games that didn activate call centre said matter will escalated and will get call back which hasn happened tired #cheating #fedup,4
3,have almost non existent data the day time unable use quota daily data will you refund know you cannot then how you compensate for your bad service please let know right get the right service when have paid for,3
6,network user pic twitter com zeseulcqk,6
4,yet get revert today day,4
4,anyone gonna follow,4
4,alrdy done basic trouble shooting step sim instered into other phn restarted also done which was guided your executuve still issue not resolved refund amount approx post that will switch other operator,4
3,call received very poor customer service,3
3,#kengeri branch has customer service executives office boy ironically number customers any given point time vodafone lost idea after bought,3
4,can have any updates upon the issue,4
4,thanks for being the worst and most pathethic company with absolutely moral ethics you have now put #redx charges parents postpaid mobile number and when they went stupid store your ppl told pay get cancelled,4
4,want for double data offer but you haven replied yet can queue recharges,4
4,when you miss you bill payment due date plays rather long notice two languages what happens making call under distress emergency something should consider,4
4,tired follow now cant tolerate you today immidiately port out from,4
4,yes buddy but want avoid lot cases near,4
3,why cant you call pathetic service absolutely,3
5,kindly help vodafone stores not operating vodafone customer care number not working need get services instantly any financial damage will hold responsible,5
7,please resolve the problem still facing the problem how you will solve this you ask delete this for privacy please revert this will delete this thanks,7
4,just goto airtel store and port,4
4,use jio airtel indian companies,4
4,followings only ones which came into notice successfully got refund lot times they changed without any information happening such big level but still they use straight denia,4
2,same already complaint about airtel years back they always said doing work issue will solved soon but till date same condition power than network,2
5,need reply anymore already approached and will with vodafone because #airtel always sucks,5
4,complain still not resolved what going,4
4,you may need buy some stake jio platforms,4
6,are setting new highs the quarter losses from they way the recovered from shows how competent there mgt pic twitter com oogj oazh,6
5,team want move from vodafone please guide steps the sim can delivered waiting hear from you,5
4,wanna hook with you got bored any #homeservice available,4
5,been using vodafone since past yrs paying for and the connection speed there issue calling friend also facing same issue with his number pls needful otherwise don any other options than portability,5
2,there any work started shared all required details you can also see the mobile data usage past days where hardly any network got surf may not more then and get daily for use,2
2,see this network using that bad that didn get tweets delivered,2
4,set caller tune week ago you charged more than still caller tune not active reached you several times through call email but response solutions you treating well your customers,4
2,don get what you mean clubbed together and how will the validity and benefits extended can you please specify more clearly the way big shoutout your network service area seriously great looks like turbonet,2
6,one did call even worked the connectivity stop fooling people have been client essar earlier and now its voda request friends here never ever get into trap voda pic twitter com xjua xtfva,6
2,really froud company just wants bill amount network nothing working city like mumbai froud people,2
4,help soon read,4
4,man you should see what has started even though one recharges every month they send the sms saying there are calls for days your connection will deactivated like wtf paying connection stop snooping,4
5,unable find low cost plan vodafone app that why called your customer care but they denied offer low cost plan being old customer couldn hope such reply form your side this pandemic time not gonna pay current plan amount plz resolve asap,5
2,don get what you mean clubbed together and how will the validity and benefits extended can you please specify more clearly the way big shoutout your network service area seriously great looks like turbonet nomenclature justified,2
4,switch waise delhi bas nahi airtel walo since,4
4,don get hopes high only asgoodas their app frustrating more than yrs but past they started looting think not active user compare others that why algo system fin,4
4,need planning switch jio,4
2,want wfh and the service provider has network what the held vodafone government watching all this how country will make made india without call internet telecommunication ministry should take this ser,2
4,every sending robotic message not one taking care customer complaints,4
4,they aren responding buddy sent them yesterday they replied back but then resolution provided yet pathetic,4
2,the best thing jio network area the tower depends live power once power gone tower goes off and mobile tries catch network from long way down #lol battery backup for tower great job jio #network,2
3,still waiting for the resolution pathetic service,3
2,this how after received the call from #airtel this how network area main road shameless team while typing the tweet network became not even edge fantastic job #airtel always sucks more than this you want tell you the reason why want port pic twitter com poo,2
4,already replied you but don think you guys are taking your customer experience seriously anyways good bye,4
2,#dotseva nothing works neither youtube nor the browser and http everything how long will network varies from resolution made after making complaint just false promises are made and big publicity,2
4,its more then one week over still issue not resolved disappointed from your services what are you working one informing about status will you all are able resolve the not,4
3,worst service worst connection just showed something went wrong and took money and now not refunding,3
7,#nothelping what the hell you talking about you have any common sense worste company and worste service ever have seen there one solve your problem else you can get any proper reply and always gives you wrong informati,7
3,worst service,3
4,this the same copy paste message ive been been receiving since oct what your within short time define,4
3,call customer service vodafone crap anyways,3
4,today reinserted airtel sim and got message india best video experience airtel switched mobile data airtel and surprised see instead and speed horrible don know how will wfh #ne,4
3,pathetic service not getting signal phone from the last days response from the customer care sent but reply sent message facebook there too reply,3
4,dude you help need solve this immediately before time runs out,4
6,shameless people called and asking why you want port what the exact reason acting like they don know the reason and pretending that they are caring the customers #airtel always sucks #airtel always sucks pic twitter com tbqfbarj,6
4,hello complaint number was assured resolved jun please give the status please help,4
4,there response acknowledgement last message can you please check,4
4,was calling them daily basis but there response from youbb team,4
5,after taking details thought vodafone going help serious way but seems like people got disappear might way far for guys reach,5
5,what going you company the customer pays the bill then also you all stop the services hello payment credited your vodafone number your outstanding balance,5
4,ohd please see the attached images offers day for days validity recharged today morning plan validity was extended till aug but plan validity extended only till aug and internet validity till aug,4
4,been more than month have also paidmy bill myno not working now this doesn happen will port and mark words don care about the bill anymore want,4
3,only attending call drops not calls worst service,3
6,dear have ported number into due worst network services please stop sending your promotion sms pic twitter com fwx dmrh,6
4,ivrs the unintelligent cousin though somehow manages enslave losing min and getting nothing but caller waiting music return,4
4,bahut cutiya company hai agai got msg from hello your services are restricted due non payment bills for bill details sms bill toll free please ignore already paid have paid the bill day before yesterday,4
3,people don want give service than let know will change port into other network just paying for and people give service,3
3,would better you provide the network and good customer service has just failed,3
4,tried that since yesterday switched off phone and also removed the sim kindly check from your end,4
3,replied please resolve soon possible getting service continuously,3
4,your site down had been trying access since days recharge phone but seems the site down could you please look into,4
3,worst service have seen from any provider,3
3,stop reminding the bill payments and start reminding yourself the fucking pathetic service you provide,3
4,done,4
4,dlt registration submitted mar still pending for activation our services have stopped and suffering huge losses pls help,4
4,can you tell how talk agent the helpline number have wait for five minutes and forced listen those records but still don get the option talk the agent,4
4,change mind already dealing with worthless team better deal with other team please help get mnp for disaster #airtel #airtel always sucks,4
2,#uselessservice #no network #no speed,2
0,could you please help get mnp disaster #airtel number pincode you are not delivering sim card could you please arrange prepaid with international roaming #airtel always sucks pic twitter,0
4,dont care about this but really care the responce given your company their consumers and all the msg openly that other users seen the reality and,4
2,please let know how many times would have raise this complaint should write consumer complaints fed recieving your text messages when did not use the service due network issue when needed why should pay,2
6,hello #airtel disaster still not awake always sleeping mode shameless organisation better the hell shut your service all over india good for public #airtel always sucks same airtel useless pic twitter com myif eoa,6
4,already complaint and issue resolved,4
6,you can help and please help with your plans https twitter com abhimanyubhat status,6
6,anyone tweet twitter instantly you replied please but when you then don reply from your site rubbish pic twitter com cnwy vwlgw,6
4,number,4
4,check your,4
4,issue resolved thanks for your prompt response and solution centric approach you need take lessons from being customer centric,4
4,respected mangalam sir voda has strtd chtng customers hello your complaint dated jun with reference number registered assure resolution jun today,4
4,for who keep sending multiple sms every day,4
5,from last days vodafone not working area bhadu market jodhpur rajasthan and tried calling vodafone care but nobody picking the call please turn your services area,5
5,#replytweet #vodafoneidea #vodafone #boycottvodafone,5
4,same thing done too,4
4,the following msg still pndng hello your complaint dated jun with reference number registered assure resolution jun,4
2,please provide good network connection atleast then send this kind message serve you better our new virtual assistant vic now whatsapp tap say help chat about anything from payments offers data more there,2
7,not again again the network gone some parts west bengal why this problem kept happening from time time why this problem again please look into soon possible this really frustrating thankyou,7
4,received the following msg hello your complaint dated jun with reference number registered assure resolution jun today,4
4,very good,4
4,received the following msg hello your complaint dated jun with reference number registered assure resolution jun today resolution yet,4
4,struggling get postpaid number disconnected from you guys its been weeks the number not disconnected till now need the number disconnected now escalate,4
5,vodafone,5
4,very slow networking,4
5,cant make international call from vodafone number,5
4,response till now,4
2,change network vodafone very slow networking,2
7,waiting complaint call since mins response from your end have you number which has service problem also have sent you alternate number call not able use vodafone network since yesterday night kind,7
4,thanks not alone,4
5,have tried best and messaged all the details you but still unable pay bill also you have kept year old boy your vodafone mini store don know anything,5
3,this happened yesterday without any notice anything you deducted this and not like there was prior subscription shit like that now customer service saying cannot refunded least you could have done ask whether,3
4,the unlimited double data offer after the first finished speed reduced you thought nobody would recognize there nothing about that the description too,4
0,https www google com amp www thehindubusinessline com info tech vodafone idea deducts international roaming rental without consent consumers complain article ece amp,0
7,class corporate customer care worst ever seen blunt replies and musical chair customer care executives and account manager mail them for solution they will create one more problem,7
4,response after still facing the issue and call drops internet,4
2,network bhut slow hai din aesa,2
2,team experiencing network issues from the past days have you well but there action taken from your end can you please look into this should leave your services behind switch other network,2
5,why say vodafone safe when yours tag line say vodafone super fast verified okla speed test,5
6,have sent all details and please for change please look into customers problems seriously and fyi got this message from your chat how complain then pic twitter com,6
4,team still waiting for your response,4
2,unable call std south india land line numbers from both vodafone numbers any interconnect network issues getting call failed all attempts,2
5,wife holds prepaid vodafone connection whereas have post paid wanted combined suitable post paid plan for both,5
6,unable send text messages from yesterday kindle check below error pic twitter com qqeewwlkjx,6
4,thats fine but you are requested unblock number from sending port message can you,4
3,very bad service vodafoneidea,3
4,please check inbox have send details you,4
4,issue has not been resolved yet since one had contacted till today,4
2,app apni company close kar london chale jaa network too nhi add badi badi kar happy help you,2
2,can you assure your network quality village sarokhanpur post badlapur district jaunpur uttar pradesh pin,2
4,doesn need port number,4
2,covid lockdown over can expect some improvement your network almost months gone not getting proper internet and network please resolve will mnp jio along with members society location dombivli wes,2
2,keep closing not even getting network why still your network not available but same place jio has network,2
4,recharged with calls data double data the msg was showing its double but when checked bal showing you cheating the people what about,4
6,give proper network first plz #bill pic twitter com bae ousonb,6
4,suddenly not able send sms from number don say your recharge may expire everything okay recently using note can you help,4
4,you guys left with choice since february inam facing billing issue and one listing did get multiple call from customer care but didn get any solution still same situation pay extra bill,4
5,vodafone dedicated with their support that they asked them times and never aswered once join are getting worse,5
4,ave already sent the both please check,4
2,aur bhai haal chaal sab theek mere yaha bhi sab theek network chhod yaha jaise kaam karta hai cross connections dropped calls failed calls aur nahi hota bhai,2
3,never expect from you the worst service one available customer support bill amount rise without any notice,3
5,hello still have vodafone customer care support please look into very bad speed salt lake kolkata have dmed you number,5
3,dear don port because suffer from his service customer face issue from last days still resolution also send plus mail but reply solution afterward your choice,3
4,sent,4
4,this very shameful that request extra bill issue still not resolved even after months continuous complaints customer care and twitter also fed with this issue don want continue with let,4
2,been two days that not getting any #network place #pune people degrading network day day,2
5,ihave sent number the don want use vodafone services any more thats why leaving please the needful,5
4,haven received any call yesterday,4
4,tem facing very poor connectivity jio work from home not possible with jio need purchase jio please check and update for resolution frustrated customer,4
2,don think you can fix your network quality all,2
5,what shameful move you people that you are not allowing person send port message from their vodafone number trying from last hrs and getting message failed error but message getting send other numbers very well ple,5
2,when doing online money transaction network switch automatically other networks like are better than your network,2
4,yes waiting for hope comes,4
4,plz send bills last one year never sent bills pdf files need those bills urgently,4
2,been days since range for sim card how even call customer care without network all other networks have stable connections wfh lag gayi abhi network use karke typing this tweet help,2
4,send you the message directly hoping for fast and proper resolution now,4
4,ghanta concirn after someday you will forget this issue and lost money and also you book your profit,4
7,hello thanks for showing your concern problem had already solved,7
3,hour passed still waiting for your reply what service,3
4,please can confirm the money wrong debited voda credited account,4
2,utterly disappointed with you services and lack customer support please tell about you plans want shift onto your network,2
5,finally after many calls and mails being denied heard have been told vodafone come what may they will charge the unreasonable fee for which was completely unaware change plan,5
4,have post paid connections and would like merge them into family plan would you able help,4
4,thank mac have the numbers hope atleast now would getting solution,4
4,hello cellphone number has been allocated another person,4
2,exactly that the issue your network shit and pay month for this,2
6,have received response from your side and the problem still persists treat earlier tweet legal notice you have constrained take appropriate legal action against your company court law https twitter com waliadivyadeep status,6
4,are you guys doing case study something because don think that much time required investigate this simple issue #vodafonedown #vodafoneservice #vodafonepathetic,4
4,use think only happens that the data pack expires before time fucking looters,4
4,tps ukaidam gujarat,4
5,see don have any prblm with internet working fine but this calling issue creating many problems whenever someone gonna call for some urgent things won connect bcz using vodafone #vodafoneidea #badne,5
4,bareilly plz pip bareilly,4
6,very poor performance our area last month thermal power plant ukaidam and gsecl colony pic twitter com dftlzswujg,6
3,after deactivation service again stole some amount subscribtion renewed that flawless service,3
6,reminder worst vodafone https twitter com adhikarii status,6
6,how many mobile#are running over same imei please check confirm found such discrepancy against national security compliance breach any mobile company pic twitter com pomfpwspn,6
